hash,project,true_message,generated_message,cleaned_generated_message
4fb7541da2bc0eb273e2f9bf771cbab873eb7d43,next-l_enju_biblio,added redirect next-l/enju_leaf#<I>, Added redirect for items associated with manifestations in routes,Added redirect for items associated with manifestations in routes
736e417530a1088db9f5c190cfd2de37f0abbe82,yob_pdf-reader,"Read and parse glyph list once only, and cache the results (for performance)", Cache Adobe glyph mapping to reduce surprises on subsequent calls,Cache Adobe glyph mapping to reduce surprises on subsequent calls
1d8f1560455aee983dd4733f3ae15c77b4f86823,jazzband_inflect,Fix file path to words.txt as it is in the same folder as test_pl_si.py, Updated file path for word list source in test_pl_si.py for consistency,Updated file path for word list source in test_pl_si.py for consistency
19bb28468b07d69e8aacfed11920d2117f253ae1,locomotivemtl_charcoal-attachment,Moved default-data merging to constructor, * Injected default data into Attachment object via constructor.,* Injected default data into Attachment object via constructor.
f4a7f5e406ee83b6708d6b1e042ab6213fda5b51,0k_shyaml,"fix: dev: avoid DRY, use entrypoint !minor

And fixes coverage.", refactor: replaced `sys.exit(main(sys.argv[1:]))` with `entrypoint()` for better code organization and readability.,refactor: replaced `sys.exit(main(sys.argv[1:]))` with `entrypoint()` for better code organization and readability.
825d70cea1f733d3335876879b47c94dc6fa6464,saltstack_salt,"Default master config for using LocalClient w/o params

Default master config is located at /etc/salt/master:
<URL>", Update localclient to connect using master configuration file at '/etc/salt/master',Update localclient to connect using master configuration file at '/etc/salt/master
979c5cdb4388c06267533330d8c06faca1ee6d6a,oliviertassinari_react-swipeable-views,"[touch] improve swiping experience

Reset the start X position when swiping in the wrong direction.
So that the swipe right away when the user realise that is his going
in the wrong directino.", Update SwipeableViews component to store initial touch position for improved swiping functionality.,Update SwipeableViews component to store initial touch position for improved swiping functionality.
be8d91f0ef07a7f16b26f211ebdc33ef7343ec1f,csstree_csstree,add support for single solidus hack for property(), Added check for single forward slash hack in getPropertyInfo() function,Added check for single forward slash hack in getPropertyInfo() function
13b6945a456598154f76c1af8ee324faf80747f0,PMEAL_OpenPNM,changing xdf to xmf as default file extension, Added support for XMF files in XDMF class; updated filename parsing mechanism to accommodate various extensions.,Added support for XMF files in XDMF class; updated filename parsing mechanism to accommodate various extensions.
15744e4894f103343fd9a42623a8bab2476ca630,phusion_passenger,Make the gem installable on mingw<I> Ruby., Prevent gem installation failure on Mingw-based Windows systems by modifying extconf.rb to ignore it as well.,Prevent gem installation failure on Mingw-based Windows systems by modifying extconf.rb to ignore it as well.
5696ed64bfe69a61f5c69e17656777e0b03f44ff,vstinner_perf,use pread/pwrite when available, Introduce pread/pwrite for reading/writing MSR on Python2 to support newer OS versions,Introduce pread/pwrite for reading/writing MSR on Python2 to support newer OS versions
39d26df3f280f1143429900f2ba6776d17312450,alexprengere_currencyconverter,Allow CERTIFICATE_VERIFY_FAILED on some tests, Add skip test for certificate error in remote file tests,Add skip test for certificate error in remote file tests
ec6fa24e33dc7f028c67dc26380b32bb3854cb0e,HazyResearch_metal,Turn off verbosity in unit test, Adjusted LSTM test to train model silently while maintaining high accuracy threshold,Adjusted LSTM test to train model silently while maintaining high accuracy threshold
3415120182351e23170351aa59736e27fe5b7562,Drawbotics_entman,Test compiled commonjs code in integration tests, Import test files from lib instead of index for modularity and organization.,Import test files from lib instead of index for modularity and organization.
9f0a9969e9c71b8a56bc511e563a20f7da379011,ninja_ninja,"More Globals

Adds globals allowed for QUnit and the browser, itself."," JSHint Configuration Update - Allows Browser Globals for QUnit Tests

Explanation: The change in this commit updates the JSHint configuration to allow browser globals for QUnit tests. This adjustment is necessary to ensure compatibility and proper functioning of the test suite within the browser environment.",JSHint Configuration Update - Allows Browser Globals for QUnit Tests
8a5db6d00b4395387b54a8670e59935746d6254e,mozilla_treeherder,"Bug <I> - fix platform duplication on guessed platform names

Ensure HTML aggregate ids have no spaces.", Added escape function for aggregate ids and updated getPlatformRowId and getResultsetTableId functions to ensure no invalid characters in the id.,Added escape function for aggregate ids and updated getPlatformRowId and getResultsetTableId functions to ensure no invalid characters in the id.
0f7cb131bcab15f72519aaa92ca818067b962fcd,numenta_htmresearch,Imbu highlights for tm model, Updated Imbu window size for specific models based on new requirements,Updated Imbu window size for specific models based on new requirements
a18fe813730045822e37fe8d6b9d72d452281436,antocuni_pdb,"Catch AttributeError and print ""No help"" message because some functions in
Python 3 have no doc string", Implement interactive help for 'hidden frames' command,Implement interactive help for 'hidden frames' command
6285df0da55825ae3bdb8b697537c53461711341,morimekta_providence,Make the binary serializer versioned by default., Update BinarySerializer constructor to enable strict mode option for reading. The change allows users to explicitly specify whether to read in strict mode or not when creating a new instance of BinarySerializer.,Update BinarySerializer constructor to enable strict mode option for reading. The change allows users to explicitly specify whether to read in strict mode or not when creating a new instance of BinarySerializer.
d0737aa5f11b09e0666b66b2659599acc7652d2c,tsuna_gohbase,"Fix cache misses for regionClientCache as well.

Change-Id: Ic5c8d<I>cce2bfee<I>aaffe<I>afade<I>f6", Renamed `region` variable to `region_key` in getRegion function for better clarity and consistency.,Renamed `region` variable to `region_key` in getRegion function for better clarity and consistency.
add272fb1d446034ed3bb1001939baa3e8cd2bfb,python-cmd2_cmd2,Updated one example so it can be used properly with default_to_shell," Enhanced Pirate class: Removed handling of unknown commands, implemented precmd method for command line pre-processing.","Enhanced Pirate class: Removed handling of unknown commands, implemented precmd method for command line pre-processing."
